Age,Accessibility,EdLevel,Employment,Gender,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
>35,No,Master,1,Man,Dev,15,10,United States of America,143000,HTML/CSS;Java;JavaScript;Kotlin;Git;Kubernetes;Terraform;Vue.js;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL;Redis,13,1
<35,No,Undergraduate,1,Man,Dev,7,5,United States of America,102700,C#;HTML/CSS;JavaScript;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Elasticsearch;Microsoft SQL Server,12,1
<35,No,Undergraduate,1,Man,Dev,7,3,United States of America,147000,Bash/Shell;C;C++;Kotlin;Python;Docker;Git;MongoDB;PostgreSQL,9,0
>35,No,Master,1,Man,Dev,30,16,United States of America,160000,C#;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;TypeScript;Git;Kubernetes;Angular;ASP.NET;ASP.NET Core ;jQuery;Google Cloud Platform;Microsoft Azure;Firebase;Microsoft SQL Server;MySQL,18,1
<35,No,Master,1,Man,Dev,5,4,United States of America,108000,HTML/CSS;JavaScript;Python;Ruby;SQL;Git;Ruby on Rails;AWS;Heroku;PostgreSQL,10,0
<35,No,Undergraduate,1,Man,Dev,18,10,United States of America,134000,HTML/CSS;JavaScript;Node.js;PHP;Docker;Flow;Git;Yarn;Drupal;Express;Gatsby;jQuery;React.js;AWS;DigitalOcean;Heroku;Microsoft Azure;MongoDB;MySQL;SQLite,20,1
>35,No,Undergraduate,1,Man,Dev,35,25,United States of America,200000,Bash/Shell;C++;HTML/CSS;JavaScript;Rust;Git;SQLite,7,0
>35,No,Undergraduate,1,Man,Dev,27,6,United States of America,160000,Bash/Shell;Scala;Ansible;Docker;Terraform;Microsoft Azure;Cassandra;PostgreSQL,8,0
>35,No,Undergraduate,1,Man,Dev,22,15,United States of America,113000,Bash/Shell;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript;Ansible;Docker;Git;Yarn;Gatsby;jQuery;Laravel;Ruby on Rails;Svelte;Vue.js;AWS;Microsoft Azure;Elasticsearch;IBM DB2;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,33,1
>35,No,Master,1,Man,Dev,12,8,United States of America,157000,C#;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;Angular;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server,11,1
<35,No,Master,1,Man,Dev,13,1,United States of America,119000,HTML/CSS;Python;Git;MySQL;SQLite,5,0
<35,No,Master,1,Man,Dev,7,6,Denmark,104148,Bash/Shell;C;C++;JavaScript;PHP;PowerShell;Python;R;SQL;VBA;Docker;Git;Kubernetes;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,20,1
<35,Yes,Undergraduate,1,Man,Dev,6,4,United States of America,105000,C#;HTML/CSS;SQL;TypeScript;Git;ASP.NET Core ;React.js;Microsoft SQL Server,8,1
<35,No,PhD,1,Man,Dev,16,12,India,139620,Assembly;C;C++;HTML/CSS;JavaScript;Node.js;Python;Docker;Git;Kubernetes;Puppet;Express;Flask;React.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Cassandra;Firebase;MongoDB;PostgreSQL;Redis,24,0
>35,No,Master,1,Man,Dev,12,9,United Arab Emirates,137208,C#;Go;Docker;Git;Heroku;PostgreSQL,6,0
>35,No,Undergraduate,1,Man,Dev,38,27,Mexico,160000,Java;JavaScript;Node.js;TypeScript;Docker;Kubernetes;Angular;Express;React.js;AWS;Google Cloud Platform;Microsoft Azure;MySQL,13,1
>35,No,Undergraduate,1,Man,Dev,21,18,Germany,140527,JavaScript;Node.js;PHP;TypeScript;Docker;Git;Yarn;Laravel;React.js;Vue.js;AWS;DynamoDB;MongoDB;MySQL,14,1
<35,No,Master,1,Man,Dev,17,10,United States of America,200000,C;Go;JavaScript;Node.js;Python;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;FastAPI;Flask;React.js;Google Cloud Platform;Elasticsearch;PostgreSQL;SQLite,20,1
<35,No,Undergraduate,1,Man,Dev,4,3,Switzerland,100632,HTML/CSS;JavaScript;Node.js;PHP;SQL;Git;React.js;Ruby on Rails;Symfony;MariaDB;Microsoft SQL Server;MySQL,12,0
<35,No,Undergraduate,1,Man,Dev,6,3,United States of America,105000,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;Docker;Git;Yarn;Django;FastAPI;Gatsby;React.js;Vue.js;Heroku;Cassandra;PostgreSQL,16,0
>35,No,Undergraduate,1,Man,Dev,23,18,United Kingdom of Great Britain and Northern Ireland,129259,C;C#;JavaScript;R;SQL;TypeScript;Docker;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft SQL Server;Oracle,14,1
<35,No,Undergraduate,1,Man,Dev,7,7,United States of America,140000,Bash/Shell;C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;Ansible;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Couchbase;DynamoDB;Elasticsearch;MongoDB;MySQL,23,1
<35,No,Undergraduate,1,Man,Dev,22,10,United States of America,140000,C#;F#;HTML/CSS;JavaScript;SQL;TypeScript;Git;Yarn;Angular;ASP.NET;ASP.NET Core ;React.js;AWS;DigitalOcean;Microsoft SQL Server,15,1
>35,No,Undergraduate,0,Man,Dev,25,22,Canada,113450,Bash/Shell;HTML/CSS;Java;JavaScript;TypeScript;Docker;Git;Kubernetes;Angular;Spring;Microsoft Azure;Oracle,12,1
>35,No,Master,0,Man,Dev,35,25,Cyprus,145932,C#;JavaScript;Kotlin;Python;SQL;Docker;Git;ASP.NET;AWS;Google Cloud Platform;Microsoft SQL Server;PostgreSQL;Redis,13,0
>35,No,Undergraduate,0,Man,Dev,40,34,United States of America,130000,C++;Git;AWS,3,0
>35,No,Master,1,Man,Dev,26,16,Canada,121010,Bash/Shell;C;C++;Python;Docker;Git;Flask;AWS,8,0
>35,No,Undergraduate,1,Man,Dev,48,33,United States of America,130000,Java;Python;Scala;Docker;Git;Django;Microsoft SQL Server,7,0
>35,No,Master,1,Man,Dev,15,10,Switzerland,127061,Go;HTML/CSS;Java;JavaScript;Scala;TypeScript;Ansible;Docker;Git;Kubernetes;Terraform;Angular;React.js;Spring;Google Cloud Platform;MariaDB;MySQL;PostgreSQL;SQLite,19,1
<35,No,Undergraduate,1,Man,Dev,10,8,United States of America,104000,C#;Go;Groovy;Java;JavaScript;Git;React.js;AWS;Microsoft SQL Server;MySQL,10,1
<35,No,Master,1,Man,NotDev,7,2,United States of America,160000,Bash/Shell;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;Docker;Git;Kubernetes;Express;jQuery;React.js;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,18,1
>35,No,Undergraduate,1,Man,Dev,25,17,United States of America,190000,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;Python;Swift;TypeScript;Docker;Git;Kubernetes;Terraform;Unity 3D;Angular.js;Express;Flask;jQuery;React.js;Ruby on Rails;Spring;AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft SQL Server;MongoDB;MySQL;Redis;SQLite,36,1
>35,No,Master,1,Man,Dev,10,10,Denmark,100153,C;C++;Go;JavaScript;Python;Rust;SQL;Docker;Git;Kubernetes;Google Cloud Platform;MySQL;PostgreSQL;SQLite,14,0
<35,No,Master,1,Man,Dev,3,3,United States of America,115000,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Git;Express;React.js;AWS;Heroku;MongoDB;Redis,12,1
<35,No,Undergraduate,0,Man,Dev,12,10,Portugal,148650,Bash/Shell;Groovy;HTML/CSS;Java;Kotlin;Docker;Git;Terraform;AWS;Google Cloud Platform;Firebase;MongoDB;MySQL;SQLite,14,1
<35,No,Other,1,Man,Dev,7,4,United States of America,150000,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;Ansible;Angular;Django;React.js;AWS;MySQL;PostgreSQL;Redis,15,0
<35,No,Undergraduate,1,Man,Dev,12,10,United States of America,160000,C#;JavaScript;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;jQuery;Microsoft SQL Server;Redis,10,1
<35,No,Undergraduate,1,Man,NotDev,22,10,United States of America,149000,Bash/Shell;Python;Ansible;Flow;Flask;PostgreSQL,6,0
<35,No,Undergraduate,1,Man,Dev,20,10,United States of America,185000,Assembly;Bash/Shell;Java;JavaScript;Kotlin;Node.js;SQL;Docker;Git;Google Cloud Platform;SQLite,11,1
>35,No,Undergraduate,0,Man,Dev,26,24,France,108100,Dart;HTML/CSS;Java;Node.js;R;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;Angular;jQuery;Spring;Vue.js;AWS;MariaDB;MongoDB;MySQL;PostgreSQL,21,1
>35,No,Undergraduate,1,Man,Dev,34,15,United States of America,140000,Bash/Shell;C#;JavaScript;Node.js;PowerShell;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL,14,1
>35,No,Other,1,Man,Dev,22,19,United Kingdom of Great Britain and Northern Ireland,122796,Bash/Shell;Go;JavaScript;Python;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;FastAPI;Flask;DigitalOcean;Google Cloud Platform;Microsoft Azure;Elasticsearch;PostgreSQL;Redis,20,0
<35,No,Master,1,Man,Dev,10,6,United States of America,120000,Swift;Git;SQLite,3,0
>35,No,Undergraduate,1,Man,Dev,39,24,United States of America,151400,HTML/CSS;JavaScript;Node.js;Python;TypeScript;Puppet;Angular;Django;Heroku;MongoDB,10,1
<35,No,Master,0,Man,Dev,15,13,Canada,113447,C#;Haskell;Java;Objective-C;SQL;Docker;Git;Kubernetes;Xamarin;Angular;ASP.NET Core ;Express;jQuery;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MongoDB;Oracle;SQLite,21,1
>35,No,Undergraduate,1,Man,Dev,21,17,Switzerland,146376,C;C#;F#;Java;JavaScript;Node.js;SQL;TypeScript;VBA;Docker;Git;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;Express;jQuery;React.js;Vue.js;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,29,1
<35,No,Undergraduate,1,Man,Dev,16,10,United Kingdom of Great Britain and Northern Ireland,129259,C#;Go;JavaScript;Python;Rust;Docker;Git;ASP.NET;ASP.NET Core ;AWS;Microsoft Azure;Couchbase;DynamoDB;Microsoft SQL Server;PostgreSQL;Redis;SQLite,17,1
>35,No,Undergraduate,1,Man,NotDev,35,25,Denmark,104208,Bash/Shell;C;Go;Perl;Python;R;Rust;SQL;Git;MariaDB;MySQL;PostgreSQL;SQLite,13,0
>35,No,Other,1,Man,Dev,20,15,United States of America,140000,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Node.js;TypeScript;Docker;Git;Unity 3D;Express;React.js;AWS;DigitalOcean;Heroku;MongoDB,16,1
<35,No,Undergraduate,1,NonBinary,Dev,15,13,United States of America,130000,C#;HTML/CSS;JavaScript;SQL;Git;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft Azure;Microsoft SQL Server,12,1
<35,No,Undergraduate,1,Man,Dev,19,9,United States of America,160000,Bash/Shell;C++;HTML/CSS;JavaScript;Matlab;Python;Git;Unity 3D;jQuery;MariaDB,10,0
>35,No,Master,1,Man,Dev,36,31,United States of America,160000,Bash/Shell;C;C++;Java;Perl;SQL;Git;AWS;Cassandra;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle,14,1
<35,No,Undergraduate,1,Man,Dev,8,4,United States of America,115000,Bash/Shell;Groovy;JavaScript;PHP;PowerShell;Python;Ruby;SQL;Ansible;Chef;Docker;Git;Kubernetes;Puppet;Laravel;Vue.js;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;Redis,21,0
<35,No,Undergraduate,1,Man,Dev,15,11,Israel,133080,JavaScript;Node.js;SQL;TypeScript;Chef;Docker;Git;Kubernetes;Terraform;Express;AWS;DynamoDB;Elasticsearch;MySQL;Redis,15,0
>35,No,Undergraduate,1,Man,Dev,20,20,United Kingdom of Great Britain and Northern Ireland,112456,HTML/CSS;JavaScript;TypeScript;Git;MongoDB,5,0
>35,No,Undergraduate,1,Man,Dev,10,10,United States of America,130000,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Rust;Scala;SQL;TypeScript;Deno;Docker;Git;Kubernetes;Express;Gatsby;React.js;AWS;DynamoDB;MariaDB;MySQL;PostgreSQL;Redis,24,1
>35,No,Undergraduate,1,Man,Dev,25,15,United States of America,220000,HTML/CSS;JavaScript;Ruby;TypeScript;Docker;Git;Kubernetes;React.js;Ruby on Rails;Vue.js;AWS;Google Cloud Platform;Heroku;Microsoft Azure;PostgreSQL;Redis,16,0
<35,No,Undergraduate,1,Man,Dev,6,2,United States of America,135000,Elixir;Haskell;HTML/CSS;JavaScript;Objective-C;Ruby;Swift;TypeScript;Docker;Git;Yarn;DigitalOcean;PostgreSQL,13,0
>35,No,Master,1,Man,NotDev,42,33,United Kingdom of Great Britain and Northern Ireland,206815,Assembly;Bash/Shell;C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;LISP;R;Rust;TypeScript;Ansible;Chef;Docker;Git;Kubernetes;Puppet;Terraform;Yarn;Angular;Angular.js;jQuery;React.js;Vue.js;AWS;Google Cloud Platform;Microsoft Azure;MariaDB;MySQL;Redis;SQLite,34,1
>35,No,Undergraduate,1,Man,Dev,30,15,United States of America,109000,C#;HTML/CSS;JavaScript;Node.js;Python;TypeScript;Docker;Git;Yarn;Angular;ASP.NET;ASP.NET Core ;Elasticsearch;MariaDB;Microsoft SQL Server;Oracle,16,1
<35,No,Other,1,Man,Dev,15,5,United States of America,115500,Bash/Shell;Java;JavaScript;Python;SQL;Docker;Git;Angular;AWS;Elasticsearch;PostgreSQL,11,0
>35,No,NoHigherEd,0,Man,Dev,25,20,Germany,103776,HTML/CSS;JavaScript;PHP;Docker;Git;Kubernetes;Drupal;jQuery;AWS;MariaDB;MySQL,11,0
<35,No,Undergraduate,1,Man,Dev,8,3,United States of America,125000,C++;Python;Git;React.js,4,0
>35,No,Master,1,Man,Dev,49,35,Germany,108098,Bash/Shell;C;JavaScript;Python;Git,5,0
<35,No,Undergraduate,1,Man,Dev,9,8,United States of America,135000,JavaScript;Node.js;Ruby;Rust;SQL;TypeScript;Git;React.js;Ruby on Rails;PostgreSQL,10,0
>35,No,Other,1,Man,Dev,12,10,Costa Rica,220616,Bash/Shell;JavaScript;PowerShell;Python;SQL;Ansible;Docker;Git;Kubernetes;Terraform;Django;Flask;Vue.js;AWS;Microsoft Azure;DynamoDB;Elasticsearch;MongoDB;MySQL;Redis;SQLite,21,1
>35,No,Other,1,Man,Dev,35,28,Israel,140088,HTML/CSS;JavaScript;Python;TypeScript;Docker;Git;Yarn;React.js;Vue.js,9,0
>35,No,Other,1,Man,Dev,8,5,United States of America,145000,HTML/CSS;JavaScript;TypeScript;Git;Angular;Angular.js;React.js;Vue.js;AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure;PostgreSQL,14,0
>35,No,Master,0,Man,Dev,11,8,Germany,129718,Java;JavaScript;Git;jQuery;Spring;PostgreSQL,6,0
<35,No,Master,1,Man,Dev,12,5,United States of America,138114,Bash/Shell;Java;SQL;Git;Spring;Elasticsearch;Oracle,7,0
<35,No,Undergraduate,1,Man,Dev,15,10,United States of America,130000,Bash/Shell;Dart;HTML/CSS;JavaScript;Rust;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;Angular;React.js;Svelte;AWS;Heroku;PostgreSQL;Redis,18,0
<35,No,Undergraduate,1,Man,Dev,19,12,United States of America,171000,HTML/CSS;Java;JavaScript;Node.js;Ruby;SQL;Docker;Git;Kubernetes;Yarn;Angular.js;jQuery;React.js;Ruby on Rails;Spring;AWS;Elasticsearch;MySQL;Redis,19,1
<35,No,Undergraduate,1,Man,Dev,10,2,United States of America,126000,JavaScript;Python;Rust;TypeScript;Docker;Git;Unity 3D;Django;React.js;AWS;DigitalOcean;Google Cloud Platform;MySQL;PostgreSQL;Redis,15,0
<35,No,Master,1,Man,Dev,14,6,United States of America,195000,C;C++;Go;HTML/CSS;JavaScript;Matlab;TypeScript;Git;Angular;Microsoft Azure;SQLite,11,0
<35,No,Undergraduate,1,Man,Dev,10,7,Netherlands,102693,Bash/Shell;C++;Dart;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Flow;Git;Terraform;Unity 3D;Unreal Engine;Yarn;Drupal;React.js;AWS;Google Cloud Platform;MongoDB;MySQL;Redis,21,1
<35,No,Undergraduate,1,Man,Dev,19,14,Canada,113447,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Python;SQL;Ansible;Docker;Git;Kubernetes;Terraform;ASP.NET Core ;AWS;Google Cloud Platform;Elasticsearch;PostgreSQL;Redis,18,1
>35,No,PhD,1,Man,NotDev,25,17,Israel,140088,Bash/Shell;C;C++;HTML/CSS;Matlab;Perl;Python;Docker;AWS;Google Cloud Platform,10,0
>35,No,Undergraduate,1,Man,Dev,32,32,United Kingdom of Great Britain and Northern Ireland,161574,SQL;Oracle,2,0
<35,No,Undergraduate,1,Man,Dev,13,6,United States of America,175000,Bash/Shell;C#;PowerShell;Docker;Git;Kubernetes;ASP.NET Core ;Microsoft Azure;Redis,9,0
>35,No,Undergraduate,1,Man,Dev,17,8,Canada,113447,C;C#;C++;HTML/CSS;Java;Python;SQL;VBA;Git;Unity 3D;Xamarin;ASP.NET;AWS;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,21,1
<35,No,Master,1,Man,Dev,12,8,United Kingdom of Great Britain and Northern Ireland,116333,Bash/Shell;Python;Rust;TypeScript;Docker;Git;Kubernetes;Yarn;React.js;Google Cloud Platform;Microsoft Azure;Elasticsearch,12,0
<35,No,Undergraduate,1,Man,Dev,6,3,United States of America,205000,Bash/Shell;Python;Docker;Git;AWS;Google Cloud Platform;Microsoft Azure;PostgreSQL;Redis,9,0
<35,No,Undergraduate,1,Man,Dev,10,8,United States of America,115000,HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Kubernetes;Express;Flask;React.js;Google Cloud Platform;PostgreSQL,12,0
>35,No,NoHigherEd,1,Man,Dev,32,25,United States of America,155000,HTML/CSS;JavaScript;Angular;Angular.js;Drupal;jQuery;React.js;Vue.js;AWS;MariaDB;MongoDB;MySQL;PostgreSQL,13,0
<35,No,Undergraduate,1,NonBinary,Dev,15,2,Canada,200000,C;Go;JavaScript;Python;Rust;SQL;TypeScript;Git;Kubernetes;React.js;Google Cloud Platform;MySQL,12,0
<35,No,Undergraduate,1,Man,Dev,22,7,United States of America,108000,Bash/Shell;C;C#;PowerShell;Python,5,0
<35,No,Master,1,Man,Dev,6,2,United States of America,120000,Java;Python;Ruby;Docker;Git;React.js;Spring;AWS;DynamoDB,9,0
<35,No,Undergraduate,1,Man,Dev,11,2,United States of America,150000,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;Express;Flask;AWS;Google Cloud Platform;Heroku;Microsoft Azure;Microsoft SQL Server;MySQL;Redis,18,1
>35,No,Undergraduate,1,Man,Dev,35,20,United States of America,102000,C#;HTML/CSS;JavaScript;SQL;TypeScript;Git;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;Microsoft SQL Server;Oracle,13,1
>35,No,Undergraduate,1,Man,Dev,13,8,Israel,113503,JavaScript;Ruby;React.js;Ruby on Rails;Google Cloud Platform,5,0
>35,No,Undergraduate,1,Man,Dev,25,14,United States of America,125000,Bash/Shell;HTML/CSS;JavaScript;Node.js;Docker;Git;Kubernetes;Yarn;Express;React.js;Microsoft Azure;MongoDB,12,1
>35,Yes,NoHigherEd,1,Man,Dev,13,10,United States of America,110000,C#;HTML/CSS;JavaScript;Node.js;TypeScript;ASP.NET Core ;Microsoft SQL Server,7,1
>35,No,Undergraduate,1,Man,Dev,5,4,United States of America,140000,Bash/Shell;HTML/CSS;JavaScript;Node.js;Ruby;Docker;Git;Kubernetes;Yarn;React.js;Ruby on Rails;AWS;Heroku;Firebase;PostgreSQL,15,0
>35,No,Master,1,Man,Dev,22,15,United States of America,150000,Assembly;C#;C++;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Git;Yarn;ASP.NET Core ;FastAPI;React.js;Microsoft Azure;Microsoft SQL Server;PostgreSQL,18,1
>35,No,Master,1,Man,NotDev,41,27,United States of America,180000,Bash/Shell;C#;Java;JavaScript;Node.js;Perl;Python;Ruby;SQL;TypeScript;Docker;Git;Terraform;ASP.NET Core ;jQuery;React.js;Ruby on Rails;AWS;Google Cloud Platform;MySQL;PostgreSQL;SQLite,22,1
<35,No,Undergraduate,1,Man,Dev,12,2,United States of America,130000,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;React.js;AWS;Elasticsearch,10,0
<35,No,Undergraduate,1,Man,Dev,17,6,Switzerland,106116,C#;HTML/CSS;JavaScript;Docker;Git;Kubernetes;ASP.NET;ASP.NET Core ;jQuery;DigitalOcean;Microsoft Azure;Microsoft SQL Server;Redis,13,1
>35,No,Master,1,Man,Dev,15,15,Norway,118685,C#;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;AWS;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL,14,1
<35,No,Undergraduate,1,Man,Dev,10,4,United States of America,128000,Java;JavaScript;Kotlin;Node.js;Objective-C;Swift;TypeScript;Git;Kubernetes;Express;React.js;Google Cloud Platform;MongoDB;Redis,14,1
>35,No,Undergraduate,1,Man,Dev,20,20,Brazil,140275,Bash/Shell;Elixir;Haskell;TypeScript;Git;Pulumi;AWS;PostgreSQL,8,0
>35,Yes,Undergraduate,0,Man,Dev,31,20,Canada,113447,C;C++;Objective-C;Swift;Git;Microsoft Azure;MySQL,7,0
<35,No,Undergraduate,1,Man,Dev,15,4,United Kingdom of Great Britain and Northern Ireland,206815,Java;Kotlin;Python;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Spring;AWS;Google Cloud Platform;MySQL;Redis,14,0
>35,No,Master,1,Man,NotDev,23,20,United States of America,125000,Bash/Shell;SQL;Ansible;AWS;Oracle Cloud Infrastructure;DynamoDB;Oracle;PostgreSQL,8,0
>35,No,Master,1,Man,Dev,16,14,United States of America,158000,C#;HTML/CSS;JavaScript;Matlab;PowerShell;Python;R;SQL;VBA;ASP.NET;Microsoft Azure;Microsoft SQL Server,12,0
<35,No,NoHigherEd,0,Man,Dev,17,11,United States of America,124000,C;C#;C++;Crystal;F#;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript;VBA;Docker;Git;Unity 3D;Unreal Engine;Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;jQuery;React.js;Ruby on Rails;Vue.js;AWS;Google Cloud Platform;Microsoft Azure;Firebase;Microsoft SQL Server;MySQL,34,1
>35,No,Master,1,Man,NotDev,37,32,United States of America,167000,Bash/Shell;C#;HTML/CSS;Java;JavaScript;SQL;ASP.NET Core ;jQuery;Microsoft SQL Server;Oracle,10,1
>35,No,Other,1,Man,Dev,26,22,United States of America,105000,C#;Docker;Git;ASP.NET Core ;React.js;Microsoft SQL Server;SQLite,7,1
<35,No,Undergraduate,1,Man,Dev,13,4,Canada,128573,Bash/Shell;C#;JavaScript;TypeScript;Docker;Git;Yarn;ASP.NET;ASP.NET Core ;React.js;Microsoft Azure;Microsoft SQL Server;PostgreSQL,13,1
>35,No,Other,1,Man,Dev,20,13,United States of America,160000,Elixir;Erlang;Rust;Scala;Docker;Git;Kubernetes;Terraform;Unity 3D;Unreal Engine;AWS;Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite,16,0
>35,No,Master,0,Man,Dev,17,8,Germany,155664,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Perl;TypeScript;Docker;Git;Yarn;React.js;Svelte,12,1
>35,No,Undergraduate,1,Man,Dev,35,22,United States of America,127000,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Node.js;Python;Git;ASP.NET Core ;Vue.js;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server,14,1
<35,No,Other,1,Man,Dev,14,10,United States of America,150000,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript;Docker;Git;Yarn;Flask;Gatsby;React.js;AWS;Microsoft SQL Server;MySQL;PostgreSQL;Redis,20,1
>35,No,Master,1,Man,Dev,25,22,United States of America,120000,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;AWS;Microsoft Azure;Microsoft SQL Server;MySQL;PostgreSQL,15,1
<35,No,Undergraduate,1,Man,Dev,13,7,United States of America,165000,HTML/CSS;Java;JavaScript;Python;Docker;Git;Angular;Flask;Spring;AWS;Elasticsearch;MySQL;PostgreSQL;Redis,14,0
<35,No,Other,1,Man,Dev,6,5,United States of America,104000,Ruby;Ruby on Rails;PostgreSQL,3,0
>35,No,Undergraduate,1,Man,NotDev,33,26,United States of America,135000,Bash/Shell;HTML/CSS;JavaScript;Perl;Python;R;Ruby;SQL;Docker;Git;Gatsby;Heroku;Oracle Cloud Infrastructure;PostgreSQL,14,0
<35,No,Master,1,Man,Dev,15,9,Switzerland,121979,Bash/Shell;Go;JavaScript;Python;Rust;SQL;Docker;Git;Express;React.js;AWS;Google Cloud Platform;Elasticsearch;Firebase;PostgreSQL,15,0
>35,No,Undergraduate,0,Man,Dev,23,17,United Kingdom of Great Britain and Northern Ireland,161550,Bash/Shell;HTML/CSS;Java;JavaScript;TypeScript;Ansible;Docker;Git;Angular.js;AWS;DigitalOcean;PostgreSQL;SQLite,13,1
>35,No,Master,1,Man,Dev,18,15,United States of America,125000,JavaScript;Ruby;Git;Yarn;jQuery;Ruby on Rails;AWS;Heroku;PostgreSQL;Redis,10,0
>35,No,Master,1,Man,Dev,4,1,United States of America,105000,Java;Python;Unity 3D;Google Cloud Platform,4,0
<35,No,Master,0,Woman,Dev,6,5,Czech Republic,140000,Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;jQuery;Svelte;PostgreSQL,10,1
>35,No,Undergraduate,1,Man,Dev,20,17,United States of America,200000,C#;HTML/CSS;JavaScript;Node.js;SQL;Git;Angular;ASP.NET;ASP.NET Core ;jQuery;AWS;Microsoft SQL Server;MongoDB,13,1
>35,No,Undergraduate,1,Man,Dev,25,15,United Kingdom of Great Britain and Northern Ireland,187426,F#;Python,2,0
>35,No,Master,1,Man,Dev,20,15,United States of America,124000,JavaScript;Python;Ruby;Rust;Docker;Git;Yarn;React.js;Ruby on Rails;AWS;MariaDB;Redis;SQLite,13,0
<35,No,Master,1,Man,Dev,14,7,France,106731,JavaScript;Perl;Rust;TypeScript;Docker;Git;Puppet;Yarn;Angular.js;jQuery;DigitalOcean;PostgreSQL,12,0
<35,No,Undergraduate,1,Man,Dev,12,12,United States of America,170000,F#;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Kubernetes;Xamarin;ASP.NET Core ;Express;React.js;AWS;Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite,18,1
